Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Layers,Heads,Embed_Dim,LR,Final_CE,Final_KL
ICL-Markov_V2_O2,L2_H2_D16_attention-only_LR0.0001,ICL-Markov,2,2,attention-only,2,2,16,0.0001,0.597011,0.166713
ICL-Markov_V2_O2,L2_H2_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,2,2,16,0.0005,0.501636,0.285633
ICL-Markov_V2_O2,L2_H1_D16_standard_LR3e-05,ICL-Markov,2,2,standard,2,1,16,3e-05,0.595690,0.158837
ICL-Markov_V2_O2,L2_H1_D16_standard_LR0.0001,ICL-Markov,2,2,standard,2,1,16,0.0001,0.579680,0.170364
ICL-Markov_V2_O2,L2_H1_D16_standard_LR0.0005,ICL-Markov,2,2,standard,2,1,16,0.0005,0.529284,0.254375
ICL-Markov_V2_O2,L2_H2_D16_standard_LR3e-05,ICL-Markov,2,2,standard,2,2,16,3e-05,0.607792,0.164357
ICL-Markov_V2_O2,L2_H2_D16_standard_LR0.0001,ICL-Markov,2,2,standard,2,2,16,0.0001,0.594271,0.173219
ICL-Markov_V2_O2,L2_H2_D16_standard_LR0.0005,ICL-Markov,2,2,standard,2,2,16,0.0005,0.484830,0.295544
ICL-Markov_V2_O2,L2_H1_D16_linear_LR3e-05,ICL-Markov,2,2,linear,2,1,16,3e-05,0.605202,0.163298
ICL-Markov_V2_O2,L2_H1_D16_linear_LR0.0001,ICL-Markov,2,2,linear,2,1,16,0.0001,0.609222,0.169271
ICL-Markov_V2_O2,L2_H1_D16_linear_LR0.0005,ICL-Markov,2,2,linear,2,1,16,0.0005,0.612537,0.185565
ICL-Markov_V2_O2,L2_H2_D16_linear_LR3e-05,ICL-Markov,2,2,linear,2,2,16,3e-05,0.605017,0.164461
ICL-Markov_V2_O2,L2_H2_D16_linear_LR0.0001,ICL-Markov,2,2,linear,2,2,16,0.0001,0.599277,0.156927
ICL-Markov_V2_O2,L2_H2_D16_linear_LR0.0005,ICL-Markov,2,2,linear,2,2,16,0.0005,0.596255,0.176807
ICL-Markov_V2_O2,L1_H1_D16_attention-only_LR3e-05,ICL-Markov,2,2,attention-only,1,1,16,3e-05,0.610813,0.159823
ICL-Markov_V2_O2,L1_H1_D16_attention-only_LR0.0001,ICL-Markov,2,2,attention-only,1,1,16,0.0001,0.596603,0.163419
ICL-Markov_V2_O2,L1_H1_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,1,1,16,0.0005,0.597171,0.152698
ICL-Markov_V2_O2,L1_H2_D16_attention-only_LR3e-05,ICL-Markov,2,2,attention-only,1,2,16,3e-05,0.600962,0.166062
ICL-Markov_V2_O2,L1_H2_D16_attention-only_LR0.0001,ICL-Markov,2,2,attention-only,1,2,16,0.0001,0.599070,0.154937
ICL-Markov_V2_O2,L1_H2_D16_attention-only_LR0.0005,ICL-Markov,2,2,attention-only,1,2,16,0.0005,0.583184,0.165662
ICL-Markov_V2_O2,L1_H1_D16_standard_LR3e-05,ICL-Markov,2,2,standard,1,1,16,3e-05,0.612345,0.160244
ICL-Markov_V2_O2,L1_H1_D16_standard_LR0.0001,ICL-Markov,2,2,standard,1,1,16,0.0001,0.594925,0.151308
ICL-Markov_V2_O2,L1_H1_D16_standard_LR0.0005,ICL-Markov,2,2,standard,1,1,16,0.0005,0.583041,0.155787
ICL-Markov_V2_O2,L1_H2_D16_standard_LR3e-05,ICL-Markov,2,2,standard,1,2,16,3e-05,0.595354,0.160138
ICL-Markov_V2_O2,L1_H2_D16_standard_LR0.0001,ICL-Markov,2,2,standard,1,2,16,0.0001,0.600862,0.156714
ICL-Markov_V2_O2,L1_H2_D16_standard_LR0.0005,ICL-Markov,2,2,standard,1,2,16,0.0005,0.571884,0.183198
ICL-Markov_V2_O2,L1_H1_D16_linear_LR3e-05,ICL-Markov,2,2,linear,1,1,16,3e-05,0.611383,0.160181
ICL-Markov_V2_O2,L1_H1_D16_linear_LR0.0001,ICL-Markov,2,2,linear,1,1,16,0.0001,0.604679,0.160842
ICL-Markov_V2_O2,L1_H1_D16_linear_LR0.0005,ICL-Markov,2,2,linear,1,1,16,0.0005,0.608805,0.155603
ICL-Markov_V2_O2,L1_H2_D16_linear_LR3e-05,ICL-Markov,2,2,linear,1,2,16,3e-05,0.609463,0.161877
ICL-Markov_V2_O2,L1_H2_D16_linear_LR0.0001,ICL-Markov,2,2,linear,1,2,16,0.0001,0.610107,0.161477
ICL-Markov_V2_O2,L1_H2_D16_linear_LR0.0005,ICL-Markov,2,2,linear,1,2,16,0.0005,0.605549,0.155012
