Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,absolute,True,1,2,16,0.0001,0.968105,0.972951,0.968105,0.157617
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,absolute,False,1,1,16,0.0001,0.991825,0.995818,0.991825,0.171615
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,absolute,False,1,2,16,0.0001,0.984505,0.988237,0.984505,0.170527
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,rope,True,1,1,16,0.0001,0.989644,0.985476,0.989644,0.159766
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,True,rope,True,1,2,16,0.0001,0.980759,0.982255,0.980759,0.164757
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,rope,False,1,1,16,0.0001,0.991742,0.993017,0.991742,0.171923
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,True,rope,False,1,2,16,0.0001,0.999630,0.998207,0.999630,0.177954
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,absolute,True,1,1,16,0.0001,0.980157,0.978506,0.980157,0.162044
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,absolute,True,1,2,16,0.0001,0.965807,0.973892,0.965807,0.157124
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,absolute,False,1,1,16,0.0001,0.990659,0.984088,0.990659,0.165718
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,absolute,False,1,2,16,0.0001,0.973613,0.979955,0.973613,0.164117
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,rope,True,1,1,16,0.0001,0.989383,0.980066,0.989383,0.164965
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,ICL-Markov,3,1,linear,False,rope,True,1,2,16,0.0001,0.983707,0.983259,0.983707,0.163046
ICL-Markov_V3_O1,L1_H1_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,rope,False,1,1,16,0.0001,0.997701,0.994893,0.997701,0.171907
ICL-Markov_V3_O1,L1_H2_D16_linear_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,ICL-Markov,3,1,linear,False,rope,False,1,2,16,0.0001,0.990906,0.984378,0.990906,0.166616
ICL-Markov_V3_O2,L2_H1_D16_performer_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,ICL-Markov,3,2,performer,True,absolute,True,2,1,16,0.0001,1.053036,1.055499,1.053036,0.235346
