Dataset_Setting,Model_Setting,Data_Name,Num_Symbols,N_Order,Model_Type,Attention_Only,PE_Type,Use_Residual,Layers,Heads,Embed_Dim,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyFalse_PE-absolute_ResFalse_LR0.0001,HMM,2,2,performer,False,absolute,False,1,2,16,0.0001,0.692798,0.692807,0.692798,0.015018
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,False,rope,True,1,1,16,0.0001,0.399167,0.397234,0.399167,0.241984
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyFalse_PE-rope_ResTrue_LR0.0001,HMM,2,2,performer,False,rope,True,1,2,16,0.0001,0.854774,0.856053,0.854774,0.225286
HMM_V2_O2,L1_H1_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,False,rope,False,1,1,16,0.0001,0.786978,0.788003,0.786978,0.131545
HMM_V2_O2,L1_H2_D16_performer_AttnOnlyFalse_PE-rope_ResFalse_LR0.0001,HMM,2,2,performer,False,rope,False,1,2,16,0.0001,0.457893,0.479303,0.457893,0.015468
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,True,absolute,True,1,1,16,0.0001,0.770367,0.772287,0.770367,0.267846
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResTrue_LR0.0001,HMM,2,2,standard,True,absolute,True,1,2,16,0.0001,0.772836,0.776249,0.772836,0.104184
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,True,absolute,False,1,1,16,0.0001,0.671320,0.671515,0.671320,0.369836
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-absolute_ResFalse_LR0.0001,HMM,2,2,standard,True,absolute,False,1,2,16,0.0001,0.692727,0.693189,0.692727,0.096642
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,True,rpe,True,1,1,16,0.0001,1.048995,1.047537,1.048994,0.462256
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResTrue_LR0.0001,HMM,2,2,standard,True,rpe,True,1,2,16,0.0001,0.733108,0.733929,0.733108,0.102786
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,True,rpe,False,1,1,16,0.0001,0.557969,0.558445,0.557969,0.138017
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-rpe_ResFalse_LR0.0001,HMM,2,2,standard,True,rpe,False,1,2,16,0.0001,0.800198,0.799919,0.800198,0.449465
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,True,rope,True,1,1,16,0.0001,0.544769,0.540472,0.544769,0.080440
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-rope_ResTrue_LR0.0001,HMM,2,2,standard,True,rope,True,1,2,16,0.0001,2.294431,2.367527,2.294431,1.678310
HMM_V2_O2,L1_H1_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,True,rope,False,1,1,16,0.0001,0.774766,0.772572,0.774766,0.119977
HMM_V2_O2,L1_H2_D16_standard_AttnOnlyTrue_PE-rope_ResFalse_LR0.0001,HMM,2,2,standard,True,rope,False,1,2,16,0.0001,0.719746,0.721899,0.719746,0.122854
