Model_Type,Layers,Heads,PE_Type,Use_Residual,Attention_Only,LR,Final_Sample_CE,Final_Theory_CE,Final_Sample_KL,Final_Theory_KL
standard,1,2,absolute,True,True,3e-05,1.19156,1.20347,1.19156,0.32371
standard,1,1,rope,True,True,3e-05,1.26068,1.26262,1.26068,0.32795
standard,1,2,rpe,False,True,3e-05,1.19612,1.20413,1.19612,0.32932
standard,1,2,absolute,True,False,0.0005,1.04174,1.04603,1.04174,0.32958
standard,2,1,absolute,False,True,0.0005,1.249,1.26323,1.249,0.33254
standard,2,2,absolute,True,False,0.0001,1.28456,1.26888,1.28456,0.34645
standard,1,2,rope,False,True,0.0001,1.23051,1.2374,1.23051,0.34656
standard,2,2,absolute,True,True,0.0001,1.26856,1.26397,1.26856,0.34861
standard,1,1,rope,False,True,0.0005,1.35634,1.35909,1.35634,0.36645
standard,1,1,rpe,True,False,3e-05,1.27342,1.27414,1.27342,0.37824
standard,1,2,rpe,False,False,3e-05,1.29519,1.29491,1.29519,0.38612
standard,1,2,rope,True,False,3e-05,1.10735,1.1139,1.10735,0.38779
standard,2,2,rope,True,False,0.0005,1.31409,1.3273,1.31409,0.38936
standard,2,1,rpe,False,False,0.0001,1.16293,1.16229,1.16293,0.39173
standard,1,1,rope,False,False,0.0001,1.2067,1.20477,1.2067,0.39909
standard,2,2,absolute,True,False,0.0005,1.24806,1.25788,1.24806,0.40451
standard,1,2,rope,False,False,0.0001,1.27564,1.27895,1.27564,0.41687
standard,2,1,absolute,True,True,3e-05,1.00258,1.00759,1.00258,0.41827
standard,2,1,absolute,False,True,3e-05,1.20296,1.20087,1.20296,0.41994
standard,2,2,rpe,True,True,0.0001,1.29284,1.28332,1.29284,0.42162
standard,2,1,rpe,True,True,0.0005,1.18115,1.16682,1.18115,0.42419
standard,1,2,rope,False,True,0.0005,1.2959,1.31795,1.2959,0.43205
standard,1,2,rpe,True,False,0.0005,1.24019,1.24834,1.24019,0.43511
standard,1,1,absolute,True,True,0.0005,1.27653,1.27745,1.27653,0.43899
standard,2,2,rope,True,True,0.0005,1.29498,1.28474,1.29498,0.44609
standard,2,2,rope,False,True,0.0001,1.1329,1.13514,1.1329,0.44644
standard,1,2,rope,True,True,0.0005,1.46582,1.46145,1.46582,0.44819
standard,1,1,rope,True,False,0.0005,1.33741,1.33769,1.33741,0.47079
standard,1,1,rpe,False,False,0.0005,1.49149,1.50038,1.49149,0.47687
standard,1,1,absolute,False,True,3e-05,1.46313,1.45444,1.46313,0.48885
standard,2,2,rope,True,False,0.0001,1.31492,1.3286,1.31492,0.49041
standard,2,2,absolute,True,True,0.0005,1.40122,1.39735,1.40122,0.49325
standard,1,2,rpe,True,True,3e-05,1.39936,1.39869,1.39936,0.49425
standard,2,2,rpe,False,True,0.0001,1.35315,1.3639,1.35315,0.52465
standard,2,1,rope,True,False,0.0001,1.41184,1.41201,1.41184,0.5307
standard,1,2,rope,True,False,0.0001,1.38402,1.37671,1.38402,0.53245
standard,2,1,rope,False,False,0.0005,1.35235,1.35786,1.35235,0.54002
standard,1,2,absolute,False,False,3e-05,1.51891,1.5137,1.51891,0.54955
standard,1,2,absolute,False,True,0.0005,1.43181,1.4304,1.43181,0.54999
standard,2,1,rpe,False,False,0.0005,1.05531,1.04108,1.05531,0.5539
standard,2,1,absolute,True,False,3e-05,1.38095,1.37711,1.38095,0.55534
standard,1,1,rope,False,False,3e-05,1.37538,1.37306,1.37538,0.56718
standard,2,1,absolute,True,False,0.0001,1.43755,1.43934,1.43755,0.57197
standard,1,1,rpe,True,True,3e-05,1.5753,1.54887,1.5753,0.5743
standard,2,1,rope,False,True,3e-05,1.04108,1.04092,1.04108,0.58267
standard,1,1,rope,True,True,0.0005,1.51314,1.50968,1.51314,0.5837
standard,1,1,absolute,False,True,0.0001,1.52786,1.50986,1.52786,0.59815
